City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,8.01,100,100,5.14,CA,1697212312
1,punta arenas,-53.15,-70.9167,9.06,53,0,15.95,CL,1697212261
2,adamstown,-25.066,-130.1015,20.39,72,100,5.35,PN,1697212311
3,udachny,66.4167,112.4,-8.64,78,94,3.04,RU,1697212230
4,margaret river,-33.95,115.0667,12.6,90,4,5.96,AU,1697212312
5,ushuaia,-54.8,-68.3,10.79,77,75,15.43,AR,1697212232
6,ilulissat,69.2167,-51.1,0.01,93,100,9.77,GL,1697212236
7,olonkinbyen,70.9221,-8.7187,-1.92,81,98,10.48,SJ,1697212231
8,carnarvon,-24.8667,113.6333,25.0,53,49,6.21,AU,1697212276
9,zhangye,38.9342,100.4517,11.8,39,23,2.26,CN,1697212270
10,blackmans bay,-43.0167,147.3167,10.07,84,100,0.89,AU,1697212825
11,coquimbo,-29.9533,-71.3436,15.85,77,40,7.2,CL,1697212826
12,vorkuta,67.5,64.0,-0.7,76,100,2.87,RU,1697212828
13,utrik,11.2278,169.8474,28.18,79,30,5.78,MH,1697212247
14,la passe,45.5549,-0.8967,24.13,75,98,11.59,FR,1697212266
15,waitangi,-43.9535,-176.5597,12.12,91,2,3.13,NZ,1697212232
16,arraial do cabo,-22.9661,-42.0278,24.92,83,75,4.63,BR,1697212247
17,fale old settlement,-9.3852,-171.2468,28.4,72,76,10.63,TK,1697212250
18,midvagur,62.0511,-7.1939,5.46,81,100,21.09,FO,1697212828
19,maumere,-8.6199,122.2111,25.28,74,88,1.96,ID,1697212828
20,jamestown,42.097,-79.2353,12.48,65,20,2.24,US,1697212252
21,okha,53.5739,142.9478,9.5,76,15,9.0,RU,1697212277
22,nova sintra,14.8667,-24.7167,24.41,76,56,2.93,CV,1697212239
23,tazovsky,67.4667,78.7,0.56,81,100,7.0,RU,1697212280
24,afaahiti,-17.75,-149.2833,21.93,77,43,7.17,PF,1697212232
25,hithadhoo,-0.6,73.0833,27.49,78,43,4.56,MV,1697212281
26,luanda,-8.8368,13.2343,28.0,69,0,7.72,AO,1697212829
27,iqaluit,63.7506,-68.5145,0.85,80,75,1.03,CA,1697212244
28,concepcion,-36.827,-73.0498,13.89,62,0,3.6,CL,1697212754
29,bredasdorp,-34.5322,20.0403,15.76,71,13,4.64,ZA,1697212244
30,bethel,41.3712,-73.414,15.11,61,0,4.12,US,1697212235
31,boquira,-12.8231,-42.7306,38.16,14,7,4.09,BR,1697212830
32,yarim,14.298,44.3779,17.05,25,2,4.8,YE,1697212830
33,holualoa,19.6228,-155.9522,22.15,82,0,1.79,US,1697212830
34,edinburgh of the seven seas,-37.0676,-12.3116,14.87,97,100,11.84,SH,1697212237
35,grytviken,-54.2811,-36.5092,-0.4,74,62,5.05,GS,1697212233
36,kodiak,57.79,-152.4072,-3.27,93,0,3.09,US,1697212266
37,sangueya,10.7,-14.3667,25.49,90,100,1.17,GN,1697212831
38,west island,-12.1568,96.8225,25.99,78,100,8.23,CC,1697212235
39,kruisfontein,-34.0033,24.7314,14.66,83,80,4.23,ZA,1697212284
40,tsiombe,-25.3,45.4833,25.24,76,16,2.6,MG,1697212451
41,san antonio de pale,-1.4014,5.6325,25.94,80,96,3.65,GQ,1697212292
42,mount isa,-20.7333,139.5,22.87,15,8,8.75,AU,1697212268
43,pontes e lacerda,-15.2261,-59.3353,35.57,32,59,2.08,BR,1697212831
44,el alto,-4.2714,-81.2147,24.81,66,56,6.01,PE,1697212298
